,job_name,company_name,company_location_and_details,skills_required
0,          LTIMINDTREE is hiring for Python Developers        ,            LTIMindtree Limited            ," Full time  
        Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana
        5-8 Years   dask  NoS Python  Pandas  Pytorch  Nltk  HTML  CSS  Javascript  Sql  ",dask  NoS Python  Pandas  Pytorch  Nltk  HTML  CSS  Javascript  Sql 
1,          Python-Django Developer        ,            HNM Solutions          ," Full time  
        Noida
        4-5 Years   Python  DJANGO  Html Css  Javascript  Banking Domain  Finance Domain  Insurance Domain  react.js   Angular Js  ",Python  DJANGO  Html Css  Javascript  Banking Domain  Finance Domain  Insurance Domain  react.js   Angular Js 
2,          python        ,            Tata Group          ," Full time  
        Bengaluru / Bangalore, India
        4-8 Years   ajax concepts  map-reduce concept  list  dictionary  shutils  pymysql module  tuples  Linux basic commands Python  Javascript  Os  HTML  Bootstrap  CSS  Numpy  Pandas  Django Framework  Basic Shell Scripting  Object Oriented Concepts  Data Structure  Sys  ",ajax concepts  map-reduce concept  list  dictionary  shutils  pymysql module  tuples  Linux basic commands Python  Javascript  Os  HTML  Bootstrap  CSS  Numpy  Pandas  Django Framework  Basic Shell Scripting  Object Oriented Concepts  Data Structure  Sys 
3,          Python Developers         ,            Aarika Hr Professionals Private Limited          ," Full time  
        Jaipur
        2-6 Years   python  django  Flask  mongodb  Numpy  Pandas  Postgresql  ",python  django  Flask  mongodb  Numpy  Pandas  Postgresql 
4,          Django Developers Experienced Candidates         ,            Procareers Infotech Solutions           ," Full time  
        Bengaluru / Bangalore
        2-5 Years   Python Django  ",Python Django 
5,          Python Developers         ,            Aarika Hr Professionals Private Limited          ," Full time  
        Jaipur
        2-6 Years   python  django  Flask  mongodb  Numpy  Pandas  Postgresql  ",python  django  Flask  mongodb  Numpy  Pandas  Postgresql 
6,          we are hiring for django Trainers         ,            Procareers Infotech Solutions           ," Full time  
        Bengaluru / Bangalore
        2-3 Years   Python Django  ",Python Django 
7,          Python Tech Lead        ,            Aarika Hr Professionals Private Limited          ," Full time  
        Jaipur
        3-13 Years   python  django  Flask  mongodb  Numpy  Pandas  Postgresql  ",python  django  Flask  mongodb  Numpy  Pandas  Postgresql 
8,          Data Analyst for KPI Data analysis and framework development        ,            Tata Group          ," Full time  
        Bengaluru / Bangalore, India
        1-3 Years   scikit-learn  stats tool python  Numpy  django  Tensorflow  Pytorch  Opencv  Pandas  Powerbi  Sql  Flask  ",scikit-learn  stats tool python  Numpy  django  Tensorflow  Pytorch  Opencv  Pandas  Powerbi  Sql  Flask 
9,          Python + Django + React Developer        ,            Coforge          ," Full time  
        Hyderabad / Secunderabad, Telangana, India
        4-6 Years   API protocols  scalable  secure  coding practices   database schema design  GRPC  Problem-solving  UI modern x  real-time complex transactions  troubleshooting distributed systems  Organizational Skills  communication  Caching technologies  maintainable software solutions  DBMS technologies  building large-scale platforms Postgres  Angular  React  UI  MySQL  Python  Graphql  Api Integration  microservice architecture  Django  REST  MongoDB  ",API protocols  scalable  secure  coding practices   database schema design  GRPC  Problem-solving  UI modern x  real-time complex transactions  troubleshooting distributed systems  Organizational Skills  communication  Caching technologies  maintainable software solutions  DBMS technologies  building large-scale platforms Postgres  Angular  React  UI  MySQL  Python  Graphql  Api Integration  microservice architecture  Django  REST  MongoDB 
10,          Infosys Walk-in Recruitment Drive at Infosys Chennai Campus | Hiring Python developers        ,            Infosys Limited          ," Full time  
        Chennai
        3-8 Years   Python  Django  Flask  Pandas  Numpy  Pyramid  ",Python  Django  Flask  Pandas  Numpy  Pyramid 
11,          Technology Lead - Python/Linux         ,            Infosys Limited            ," Full time  
        Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana
        5-10 Years  6,00,000-13,50,000 INR  Python  Linux  Linux Administration  Ansible  ",Python  Linux  Linux Administration  Ansible 
12,"          Lead Consultant, Machine Learning %26 Python        ",            Genpact          ," Full time  
        Bengaluru / Bangalore
        0-2 Years   scikit-learn  snowflake  python  Ml  hadoop  mongodb  Pandas  Kafka  Big Data  Numpy  Nosql  Java  Scala  Spark  Sql  ",scikit-learn  snowflake  python  Ml  hadoop  mongodb  Pandas  Kafka  Big Data  Numpy  Nosql  Java  Scala  Spark  Sql 
13,          Python Automation Lead        ,            Ltimindtree Limited          ," Full time  
        Bengaluru / Bangalore
        5-10 Years   snowflake  Python  Automation  Etl  ",snowflake  Python  Automation  Etl 
14,          Business Analyst        ,            Genpact          ," Full time  
        Noida
        0-2 Years   SAM  transfer family  documentdb python  mongodb  Pandas  Cloudformation  Cloudwatch  aws  mysql  Numpy  django  Nosql  Soap  Dynamodb  postgresql  Ec2  sql server  Xml  Api Gateway  rds  Lambda  Rest Api  oracle  Json  Sql  Flask  ",SAM  transfer family  documentdb python  mongodb  Pandas  Cloudformation  Cloudwatch  aws  mysql  Numpy  django  Nosql  Soap  Dynamodb  postgresql  Ec2  sql server  Xml  Api Gateway  rds  Lambda  Rest Api  oracle  Json  Sql  Flask 
